基金代码,基金周增长,基金月增长,基金3月增长,基金6月增长,基金年增长,最大回撤,收益波动率,基金6月增长排名,基金年增长排名,最大回撤排名,总平均排名
005662,0.1231974660331749,0.1231974660331749,0.1231974660331749,0.1231974660331749,0.1231974660331749,0.0881,0.0074,2.0,2.0,39.5,14.5
005663,0.1232748338728915,0.1232748338728915,0.1232748338728915,0.1232748338728915,0.1232748338728915,0.247,0.0082,1.0,1.0,280.0,94.0
005661,0.0631855333926227,0.0631855333926227,0.0631855333926227,0.0631855333926227,0.0631855333926227,0.0489,0.0086,157.0,157.0,9.0,107.66666666666667
005660,0.0630720585787985,0.0630720585787985,0.0630720585787985,0.0630720585787985,0.0630720585787985,0.0492,0.0086,160.0,160.0,10.0,110.0
001162,0.085136078157711,0.085136078157711,0.085136078157711,0.085136078157711,0.085136078157711,0.2717,0.0091,21.0,21.0,392.0,144.66666666666666
010382,0.0722734388589321,0.0722734388589321,0.0722734388589321,0.0722734388589321,0.0722734388589321,0.2525,0.0174,69.0,69.0,306.5,148.16666666666666
001638,0.0841300191204589,0.0841300191204589,0.0841300191204589,0.0841300191204589,0.0841300191204589,0.273,0.0091,26.0,26.0,398.0,150.0
009070,0.0731256085686467,0.0731256085686467,0.0731256085686467,0.0731256085686467,0.0731256085686467,0.2576,0.0081,64.0,64.0,330.5,152.83333333333334
010381,0.0720892039069927,0.0720892039069927,0.0720892039069927,0.0720892039069927,0.0720892039069927,0.2559,0.0176,71.0,71.0,319.5,153.83333333333334
008283,0.0828571428571427,0.0828571428571427,0.0828571428571427,0.0828571428571427,0.0828571428571427,0.2775,0.0111,27.0,27.0,419.0,157.66666666666666
011866,0.0768695652173912,0.0768695652173912,0.0768695652173912,0.0768695652173912,0.0768695652173912,0.2725,0.0147,43.0,43.0,396.0,160.66666666666666
009688,0.0679703022064206,0.0679703022064206,0.0679703022064206,0.0679703022064206,0.0679703022064206,0.2508,0.0193,100.0,100.0,299.0,166.33333333333334
011518,0.0657443537897599,0.0657443537897599,0.0657443537897599,0.0657443537897599,0.0657443537897599,0.2348,0.0143,125.0,125.0,250.0,166.66666666666666
011152,0.0796918413740844,0.0796918413740844,0.0796918413740844,0.0796918413740844,0.0796918413740844,0.2803,0.0165,34.0,34.0,438.0,168.66666666666666
011333,0.0741687979539641,0.0741687979539641,0.0741687979539641,0.0741687979539641,0.0741687979539641,0.2741,0.0145,57.0,57.0,405.0,173.0
000867,0.0687751004016064,0.0687751004016064,0.0687751004016064,0.0687751004016064,0.0687751004016064,0.2605,0.0124,92.0,92.0,344.5,176.16666666666666
008492,0.0696278511404563,0.0696278511404563,0.0696278511404563,0.0696278511404563,0.0696278511404563,0.2661,0.0154,84.0,84.0,373.0,180.33333333333334
008491,0.0694991301162895,0.0694991301162895,0.0694991301162895,0.0694991301162895,0.0694991301162895,0.2648,0.0156,88.0,88.0,366.0,180.66666666666666
011334,0.0743662700465597,0.0743662700465597,0.0743662700465597,0.0743662700465597,0.0743662700465597,0.2802,0.0149,54.0,54.0,435.5,181.16666666666666
001577,0.0658021133525456,0.0658021133525456,0.0658021133525456,0.0658021133525456,0.0658021133525456,0.2635,0.0091,124.0,124.0,363.0,203.66666666666666
010312,0.0890073499717309,0.0890073499717309,0.0890073499717309,0.0890073499717309,0.0890073499717309,0.3061,0.0129,10.0,10.0,598.0,206.0
005938,0.0806537035635922,0.0806537035635922,0.0806537035635922,0.0806537035635922,0.0806537035635922,0.3008,0.0097,30.0,30.0,561.0,207.0
006652,0.0726421505701125,0.0726421505701125,0.0726421505701125,0.0726421505701125,0.0726421505701125,0.2914,0.0099,67.0,67.0,508.5,214.16666666666666
003232,0.0872669575565252,0.0872669575565252,0.0872669575565252,0.0872669575565252,0.0872669575565252,0.31,0.0088,18.0,18.0,624.5,220.16666666666666
003233,0.0875882946518669,0.0875882946518669,0.0875882946518669,0.0875882946518669,0.0875882946518669,0.3151,0.0088,16.0,16.0,655.0,229.0
012225,0.0603907637655416,0.0603907637655416,0.0603907637655416,0.0603907637655416,0.0603907637655416,0.2511,0.0175,194.0,194.0,300.0,229.33333333333334
012226,0.060407482425831,0.060407482425831,0.060407482425831,0.060407482425831,0.060407482425831,0.2543,0.0177,193.0,193.0,315.5,233.83333333333334
005937,0.0805868908058688,0.0805868908058688,0.0805868908058688,0.0805868908058688,0.0805868908058688,0.317,0.01,31.0,31.0,665.5,242.5
009234,0.0798095081698004,0.0798095081698004,0.0798095081698004,0.0798095081698004,0.0798095081698004,0.3203,0.0132,33.0,33.0,692.0,252.66666666666666
011295,0.0559333187102434,0.0559333187102434,0.0559333187102434,0.0559333187102434,0.0559333187102434,0.2258,0.0107,268.0,268.0,223.0,253.0
006775,0.0562029401219074,0.0562029401219074,0.0562029401219074,0.0562029401219074,0.0562029401219074,0.2296,0.0065,263.0,263.0,236.0,254.0
005082,0.0576063726442587,0.0576063726442587,0.0576063726442587,0.0576063726442587,0.0576063726442587,0.2496,0.0043,240.0,240.0,290.0,256.6666666666667
009394,0.0776890123885607,0.0776890123885607,0.0776890123885607,0.0776890123885607,0.0776890123885607,0.3214,0.0118,37.0,37.0,700.0,258.0
